id	eng	amh	gaz	kqy-latin	kqy-ethiopic	hdy	ktb	sid	kbr
lent5	5th Sunday in Lent	የዐቢይ ጾም 5ኛ እሑድ (ገብር ኄር)	Tibba Soomii Sanbata Guddaa 5ffaa (Hojjetaa Gaarii)	Malla xhooma wogga ichicho Anke	መለ ጾመ ዎገ እችቾ አንኬ	Lob Soomma’n Onti Abba’a	Kodaade Xooma Afeemmahanniichchi zakkiin Yoo Ontiqqi Abbata (Gabiri Heera)	Jawiidi xoomira 5kki Sambata (Gebiri-Heeri)	
lent6	6th Sunday in Lent	የዐቢይ ጾም 6ኛ እሑድ (ኒቆዲሞስ)	Tibba Soomii Sanbata Guddaa 6ffaa (Waa'ee Niqoodemos)	Malla xhooma wogga izzunxo Anke	መለ ጾመ ዎገ እዙንሦ አንኬ	Lob Soomma’n Loh Abba’a	Kudaade Xooma Afeemmahanniichchi zakkiin Yoo Lehiqqi Abbata (Niqoodimoose)	Jawiidi xoomira 6kki Sambata (Niqodimoosi)	
lent7	Last Sunday in Lent (Palm Sunday)	የዐቢይ ጾም 7ኛ እሑድ (ሆሣዕና)	Tibba Soomii Sanbata Guddaa 7ffaa (Hosaa'inaa)	Malla xhooma wogga laafunxo Anke	መለ ጾመ ዎገ ላፉንሦ አንኬ	Lob Soomma’n Lama’l Abba’a (Hosaana)	Kudaade Xooma Afeemmahanniichchi zakkiin Yoo Lamalqi Abbata (Hosaana)	Jawiidi xoomira 7kki Sambata (Hosainna)	
holy_mo	Monday of Holy Week	የሕማማት ሰሞን ሰኞ	Dafinoo (Wixata) Torban Dhiphina Isaatii	Yesuusa gara maddhay yoodo saminte Jhiisho wonte	ዬሱሰ ገረ መዸይ ዮዶ ሰምንቴ ዢሾ ዎንቴ	U’nnanchi Taaphphi Sanna	Qarichchu Yesuusu Hawwa Aaqqee Jeechcho Sanni Bari	Gawajjamasi lamala Sanyo	
holy_tu	Tuesday of Holy Week	የሕማማት ሰሞን ማክሰኞ	Torban Dhiphina Isaa Facaasaa (Kibxata)	Yesuusa gara maddhayyoodo saminte Koora wonte	ዬሱሰ ገረ መዸዮዶ ሰምንቴ ኮረ ዎንቴ	U’nnanchi Taaphphi Maagsanni Balla	Qarichchu Yesuusu Hawwa Aaqqee Jeechcho Maagisanni Bari	Qaru lamala Maakisanyo	
holy_we	Wednesday of Holy Week	የሕማማት ሰሞን ረቡዕ	Torban Dhiphina Isaa	Yesuusa gara maddhay yoodo saminte Gollo wonte	ዬሱሰ ገረ መዸይ ዮዶ ሰምንቴ ጎሎ ዎንቴ	U’nnanchi Taaphphi Orooba	Qarichchu Yesuusu Hawwa Aaqqee Jeechcho Oroobi Bari	Gawajjamasi lamala Roobe	
holy_th	Maundy Thursday	የሕማማት ሰሞን ሐሙስ (ጸሎት ሐሙስ)	Torban Dhiphina Isaa Kamisa (Kadhata Kamisaa)	Yesuusa gara maddhay yoodo saminte Dhegeze wonte	ዬሱሰ ገረ መዸይ ዮዶ ሰምንቴ ዼጌዜ ዎንቴ	U’nnanchi Taaphphi Hamusa (Waa’a Uunxaxxi Hamusa)	Qarichchu Yesuusu Hawwa Aaqqee Jeechcho Hamusi Bari (Maganu uucceenno Hamusa)	Gawajjamasi lamala Hamuse (Huuccattote Hamuse)	
holy_fr	Good Friday	የስቅለት በዓል	Ayyaana Guyyaa Fannifamuu Yesus	Yesuusay suxhutto wonte	ዬሱሰይ ሱጹቶ ዎንቴ	Saqalanchi Ugudo	Qarichchu Yesuusu Saqalammo Bari Abbiseenno Ayyaana	Sutamate Ayyaana	
holy_sa	Holy Saturday	የሕማማት ሰሞን ቅዳሜ	Sanbata Duraa Torban Dhiphina Isaa	Yesuusa gara maddhay yoodo saminte Oge wonte	ዬሱሰ ገረ መዸይ ዮዶ ሰምንቴ ኦጌ ዎንቴ	U’nnanchi Taaphphi Hoffa’a	Qarichchu Yesuusu Hawwa Aaqqee Jeechcho Hoffa Bari	Gawajjamasi lamala Qidaame	
easter	Easter - The Festival of the Resurrection of Our Lord	የጌታ ትንሣኤ በዓል	Sanbata Guddaa (Dilbata) Ayyaana Du'aa Ka'uu Gooftaa	Kristosay dendo massala	ክርስቶሰይ ዴንዶ መሰለ	Kichchi Ugudo	Qarichchu Yesuusu Rehoochchi Keo Bari Abbiseenno Ayyaana	Mootichunnihu Kaote ayyaani	
